Textbox67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E=Excused   L=Late (15 minutes or less)   T=Tardy   X=Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox99,Textbox200,Textbox104,Textbox106,Textbox116,Textbox117,Textbox118,Textbox119,Textbox120,Textbox121,Textbox122,Textbox123,StudentID,StudentName,Grade,Textbox10,Textbox15,Textbox107,Textbox108,Textbox110,Textbox111,Textbox112,Textbox113,Textbox114,Textbox115,Textbox127,Textbox128,Textbox129,Textbox130,Textbox132,Textbox133,Textbox134,Textbox135,Textbox47,Textbox49,Textbox50,Textbox51,Textbox52,Textbox54,Textbox55,Textbox56,Textbox57,Textbox58,Textbox59,Textbox60,Textbox61,Textbox62,Textbox63,Textbox64,cycldayc,Date,Period0,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,TotalAbsent,cntUnexcused,TotalTardy,AbsenceDay
Date,1,2,3,4,5,6,7,8,,,,3939,"Devine, Ebony ",1,Ebony Devine,(801)123-6615,A / T,1-Feb,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,2,0,1,2,Cycle Day  Totals,1-Feb,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,2,0,1,2,,,,,,,,,,,,,,,,,
Date,1,2,3,4,5,6,7,8,,,,3939,"Devine, Ebony ",1,Ebony Devine,(801)123-6616,A / T,1-Feb,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,2,0,1,2,,,,,,,,,,,,,,,,,,10/11/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3939,"Devine, Ebony ",1,Ebony Devine,(801)123-6617,A / T,1-Feb,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,2,0,1,2,,,,,,,,,,,,,,,,,,12/8/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3939,"Devine, Ebony ",1,Ebony Devine,(801)123-6618,A / T,1-Feb,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,2,0,1,2,,,,,,,,,,,,,,,,,,2/26/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6619,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,Cycle Day  Totals,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6620,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,8/28/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6621,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,8/31/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6622,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,9/6/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6623,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,9/13/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6624,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,9/18/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6625,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,9/19/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6626,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,9/21/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6627,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,9/22/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6628,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,9/25/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6629,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,10/27/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6630,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,10/30/2017,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6631,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,10/31/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6632,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/1/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6633,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/7/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6634,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/8/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6635,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/9/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6636,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/27/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6637,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/28/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6638,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/29/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6639,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,11/30/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6640,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/4/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6641,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/5/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6642,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/6/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6643,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/7/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6644,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/8/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6645,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/11/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6646,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/12/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6647,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/13/2017,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6648,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/14/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6649,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/18/2017,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6650,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,12/19/2017,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6651,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/3/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6652,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/4/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6653,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/5/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6654,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/8/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6655,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/9/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6656,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/10/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6657,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/11/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6658,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/16/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6659,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/18/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6660,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/19/2018,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6661,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/24/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6662,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/25/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6663,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/26/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6664,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/29/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6665,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/30/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6666,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,1/31/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6667,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/1/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6668,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/5/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6669,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/6/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6670,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/7/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6671,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/8/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6672,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/9/2018,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6673,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/12/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6674,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/13/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6675,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/14/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6676,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/15/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6677,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/16/2018,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6678,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/20/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6679,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/21/2018,E,,,,,,,,,,,1,0,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6680,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/22/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6681,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/23/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6682,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/26/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6683,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/27/2018,X,,,,,,,,,,,0,1,0,1
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6684,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,2/28/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6685,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,3/1/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6686,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,3/2/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6687,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,3/6/2018,T,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6688,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,3/7/2018,L,,,,,,,,,,,0,0,1,0
Date,1,2,3,4,5,6,7,8,,,,3834,"Booker, Aurora ",1,Aurora Booker,(801)123-6689,A / T,25/ 77,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,0/ 0,9,16,77,25,,,,,,,,,,,,,,,,,,3/8/2018,L,,,,,,,,,,,0,0,1,0
